#{"t_start": 1759395476.0053387, "env_id": "LunarLander-v3"}
r,l,t
32.445865,111,181.703053
-14.6453,71,181.881431
-49.472089,72,182.060506
-50.641194,96,182.30028
-38.655211,69,182.473183
-18.014636,79,182.660609
-24.387992,67,182.820544
2.065973,145,183.174618
-22.001687,79,183.360679
15.79802,101,183.613856
-86.42719,104,183.873853
4.830968,95,184.140517
-11.221733,92,184.371896
43.368944,87,184.587236
-0.171944,102,184.829384
-37.386777,77,185.018553
-66.071975,96,185.256644
-18.071386,125,185.573865
-59.520509,123,185.870419
-76.977664,86,186.091637
4.621091,152,186.468697
1.502466,124,186.782506
-18.481069,67,186.959742
-42.87776,91,187.180438
-35.019985,80,187.394723
-22.551818,96,187.633961
-16.720175,99,187.878743
-57.457023,98,188.126036
-120.870903,104,188.385776
-10.148205,79,188.573501
-22.890783,105,188.845361
-29.319602,77,189.040565
-7.977691,95,189.283328
-80.037886,82,189.483314
-35.689893,83,189.702687
-0.940477,111,189.980743
-2.39161,129,190.292749
60.590474,1000,192.796718
17.609335,110,193.053153
11.934525,123,193.363283
-44.598703,124,193.66788
-32.768097,131,193.980631
-26.460618,103,194.23736
-11.861781,109,194.509141
-54.679555,83,194.704403
-30.480846,110,194.964952
22.964638,108,195.225208
-19.323873,78,195.422736
13.540134,134,195.739609
-32.408008,97,195.96803
-110.995703,102,196.22406
23.927868,118,196.510826
-51.497125,97,196.748956
-78.367598,78,196.939489
-60.114191,88,197.1531
-19.06438,111,197.425557
-26.492843,66,197.579462
54.109203,110,197.842965
-33.674034,106,198.095961
-26.97551,97,198.346987
-12.874692,81,198.591996
3.53849,106,198.861899
-1.079081,138,199.21198
-1.573307,82,199.401971
-66.152161,92,199.616013
5.725491,117,199.903515
-0.162416,103,200.143597
-70.106363,102,200.400749
-6.379679,74,200.57763
-71.646341,105,200.847317
-66.059638,97,201.073546
-102.936824,93,201.302062
-33.656332,107,201.563027
-12.486724,155,201.955781
-67.271107,73,202.127247
37.200242,102,202.375122
13.759603,90,202.606112
1.629785,90,202.824918
-65.405527,81,203.03535
-33.539666,73,203.221153
-107.521317,93,203.484969
26.942829,93,203.702509
13.862949,118,204.010869
-38.130259,79,204.216458
-31.739016,73,204.401036
48.166014,1000,206.953728
-64.945441,78,207.126011
-21.579176,82,207.341074
100.683401,1000,209.811862
52.331712,1000,212.314983
-33.850915,107,212.579728
-32.06669,78,212.766773
-84.137153,121,213.056431
46.494024,98,213.291163
-63.754222,103,213.541457
-27.231562,114,213.815091
-49.744628,78,214.030046
-37.872842,76,214.215798
-6.2952,91,214.431049
20.80061,141,214.793292
-45.516097,63,214.94128
-36.214542,69,215.125678
-17.848958,104,215.393959
31.693169,108,215.664218
-11.587654,124,215.967615
3.525133,125,216.273632
-32.09858,124,216.573354
-44.415293,101,216.824637
-24.614478,90,217.040102
-26.40608,1000,219.514265
-4.958866,155,219.876625
-26.596164,90,220.10145
-8.095975,128,220.413694
3.133364,89,220.643734
-33.326552,103,220.90148
-67.723442,101,221.151456
23.815322,105,221.399067
-39.702349,116,221.68691
-28.854135,97,221.931354
-39.694865,97,222.171379
67.472062,1000,224.633694
87.211006,1000,227.115515
6.113029,89,227.323611
30.92678,108,227.594348
53.75966,95,227.823743
71.091153,1000,230.997809
43.87654,1000,233.706369
26.0168,90,233.939787
30.397999,108,234.201651
-4.408652,110,234.483398
-26.513947,93,234.72181
-3.56932,144,235.08889
-66.816338,99,235.334104
-33.347239,97,235.578373
48.779179,1000,238.291782
-3.947439,124,238.599726
-0.76489,101,238.844527
-9.784183,96,239.077147
54.751205,1000,241.571979
-180.806775,479,242.769609
-66.751547,185,243.234037
7.061195,121,243.536579
-2.363529,131,243.874021
10.158011,118,244.184045
21.389341,130,244.514543
51.037275,132,244.855404
125.628678,1000,247.468311
-31.758934,103,247.733526
144.706016,1000,250.217185
118.979175,1000,252.77865
21.862982,86,252.993901
48.228659,119,253.272129
-75.383031,128,253.602327
172.046766,1000,256.123484
-32.928196,102,256.379344
5.301247,166,256.785593
143.411653,1000,259.294965
-11.400088,106,259.554734
19.155731,117,259.853483
105.127652,1000,262.39788
135.744361,1000,264.955706
4.56304,141,265.304336
147.63919,1000,267.913602
32.02366,96,268.152583
15.051594,92,268.381582
-14.188988,176,268.83295
-16.640698,1000,271.541158
45.864099,98,271.813737
11.26861,124,272.151073
93.287863,1000,274.830198
123.515973,1000,277.472829
-1.664987,135,277.828521
-53.158066,130,278.160916
86.222807,1000,280.793011
10.688782,85,281.023064
12.741287,131,281.373138
152.500903,1000,284.061896
-4.10633,1000,286.70298
52.441863,138,287.068358
149.311143,1000,289.705004
28.389018,145,290.097442
118.357204,1000,292.693321
17.08775,250,293.395215
80.35847,1000,296.183552
50.613038,106,296.492528
28.703286,1000,299.524606
114.42066,1000,302.27857
47.122366,174,302.717332
129.75455,1000,305.386277
0.850138,116,305.703598
138.179247,1000,308.376067
45.046488,1000,311.16554
69.71667,1000,313.863748
146.846248,1000,316.486091
31.035885,121,316.809994
156.089222,1000,319.527899
264.680177,974,322.149177
146.696804,1000,324.783583
162.222945,1000,327.426759
262.159756,839,329.692255
134.65842,1000,332.404138
146.388625,1000,335.15433
144.651886,1000,337.85361
271.82622,204,338.385533
241.552326,400,339.42345
46.114314,93,339.66111
174.624813,1000,342.34453
148.834218,1000,345.45739
124.717926,1000,348.157255
263.225526,530,349.616745
272.011519,356,350.617865
254.095638,193,351.121605
120.355279,1000,353.861298
294.476267,519,355.240103
160.822058,1000,357.925057
266.465,490,359.239705
259.379381,407,360.322731
268.274972,967,362.881643
265.840113,283,363.629382
159.993905,1000,366.291353
159.555805,1000,369.002496
1.321935,1000,371.675156
245.26104,435,372.859478
258.679185,610,374.525329
52.205344,156,374.951859
7.10635,159,375.361538
117.630084,1000,378.03849
-6.405803,1000,380.765736
236.451188,767,382.977772
65.942528,1000,385.694099
176.232622,1000,388.407126
158.502643,1000,391.099263
115.993821,1000,393.761482
144.828022,1000,396.443887
121.231014,1000,399.15213
125.208812,1000,401.840497
130.597835,1000,404.554131
209.742085,794,406.728212
137.903942,1000,409.398801
244.128875,278,410.137564
129.40935,1000,412.823573
141.52688,1000,415.531087
264.884259,682,417.372221
240.108181,432,418.516382
274.816893,767,420.629813
265.143558,761,422.696689
154.316833,587,424.259125
264.093039,458,425.473541
135.998602,1000,428.23087
272.39158,970,430.912176
255.771671,583,432.518241
264.234727,255,433.201255
154.97966,1000,435.959101
240.460932,215,436.541733
250.444377,383,437.584914
278.729974,676,439.479686
284.651916,268,440.190333
69.329293,157,440.621943
238.187195,929,443.176225
213.543376,683,445.03747
311.771869,337,445.930992
245.629999,588,447.546201
248.233256,273,448.292029
155.598111,1000,451.000905
286.679302,435,452.219718
292.562757,171,452.709759
159.271187,1000,455.552335
283.642157,357,456.496142
161.777175,1000,459.244526
48.964993,122,459.561748
240.356303,618,461.235351
110.061217,1000,463.987585
251.116861,645,465.747909
143.403272,1000,468.477874
148.4591,1000,471.197213
247.397333,798,473.396735
220.937957,406,474.462793
56.047917,125,474.808217
268.640453,410,475.919996
264.519295,409,477.012966
176.232759,1000,479.724916
243.569244,225,480.328348
280.091349,254,481.039317
266.776629,239,481.788188
280.893054,765,484.065861
265.717648,184,484.692121
260.634513,427,485.890926
277.069043,344,486.800918
258.533506,236,487.451207
268.562131,527,488.914966
49.385907,93,489.173823
