#{"t_start": 1759397050.241813, "env_id": "LunarLander-v3"}
r,l,t
185.699521,363,375.573298
-26.795396,239,375.691921
228.25708,290,375.836506
-143.152153,739,377.292445
282.571725,357,377.473008
219.241763,384,377.662081
-12.272487,277,377.798109
196.603452,315,377.955298
-156.798287,339,379.180577
253.77083,294,379.344294
241.461032,307,379.500973
201.266362,308,379.654858
232.820821,306,379.809711
4.956753,278,379.94713
184.925317,415,381.206746
231.571879,341,381.406919
203.313917,321,381.565153
152.79017,421,381.774896
20.639244,239,381.892946
243.24829,338,382.061599
199.280669,366,382.241508
188.373792,454,383.582629
231.750656,311,383.734778
228.338739,263,383.866839
222.427479,336,384.034498
240.025174,302,384.181276
144.955736,415,385.411929
265.187322,349,385.614026
242.686745,284,385.751674
212.763075,288,385.900623
200.16323,556,386.17364
207.690762,278,386.30977
222.159889,270,386.450178
240.976825,314,387.656144
-30.279499,241,387.779853
-18.378602,299,387.93256
-14.373437,205,388.035171
250.817667,265,388.164863
248.750212,627,388.472112
245.462177,280,389.660287
245.04201,284,389.821927
242.587165,265,389.950292
255.252956,257,390.078532
286.352962,427,390.294948
251.504089,254,390.421466
-24.54775,178,390.512397
241.969103,282,391.676545
244.705202,308,391.844701
-19.067066,249,391.980125
304.031597,365,392.169966
240.684095,260,392.300039
229.497928,291,392.450185
275.435055,291,392.60031
26.746245,166,392.684991
228.190822,310,393.943117
238.965074,287,394.092952
267.043209,253,394.219123
201.51597,349,394.390034
237.628567,261,394.521598
-15.633855,187,394.615009
266.16413,324,394.780029
1.644288,247,395.988525
235.967746,273,396.142628
214.954136,474,396.372676
236.996147,315,396.532499
18.077921,251,396.652249
231.043512,312,396.800499
281.729245,482,398.104437
-53.232968,364,398.295514
234.316281,295,398.440341
253.821781,259,398.572655
223.22499,366,398.760227
189.120821,578,400.162647
237.757984,285,400.330575
162.058846,541,400.615215
218.991867,398,400.819258
-123.597099,427,401.033478
226.764718,393,401.229078
